Tarih,Fon Kodu,Fon Adı,Banka Bonosu (%),Diğer (%),Döviz Ödemeli Bono (%),Devlet Tahvili (%),Dövize Ödemeli Tahvil (%),Eurobonds (%),Finansman Bonosu (%),Fon Katılma Belgesi (%),Gayrı Menkul Sertifikası (%),Hazine Bonosu (%),Hisse Senedi (%),Kamu Dış Borçlanma Araçları (%),Katılım Hesabı (%),Kamu Kira Sertifikaları (%),Kıymetli Madenler (%),Özel Sektör Kira Sertifikaları (%),Özel Sektör Tahvili (%),Repo (%),Türev Araçları (%),TPP (%),Ters-Repo (%),Varlığa Dayalı Menkul Kıymetler (%),Vadeli Mevduat (%),Yabancı Borçlanma Aracı (%),Yabancı Hisse Senedi (%),Yabancı Menkul Kıymet (%)
2/25/2021,AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,0,0,0,7.51,0,0,17.66,6.44,0,0,31.95,0,0,0,0,0,4.13,0,4.76,0,19.29,0,8.26,0,0,0
2/25/2021,AAL,ATA PORTFÖY PARA PİYASASI FONU,0,0,0,0,0,0,6.83,0,0,0,0,0,0,0,0,0,0,0,7.7,0,78,0,7.47,0,0,0
2/25/2021,AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,0,0,0,0,0,0,0,83.18,0,0,0.12,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0
2/25/2021,AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),0,0,0,0,0,0,0,0,0,0,96.53,0,0,0,0,0,0,0,3.47,0,0,0,0,0,0,0
2/25/2021,ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,0,0,0,3.73,0,0,43,0,0,0,0,0,0,0,0,0,15.29,0,0,17.02,18.37,0,2.89,0,0,0
2/25/2021,ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),0,0,0,0,0,0,0,0,0,0,82.38,0,0,0,0,0,0,0,16.42,1.2,0,0,0,0,0,0
2/25/2021,ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,0,0,0,1.8,0,0,15.56,0,0,0,52.21,0,0,0,0,0,12.6,0,3.04,2.57,12.22,0,0,0,0,0
2/25/2021,ACK,İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),0,0,0,2.57,0,0,3.5,0,0,0,82.48,0,0,0,0,0,0.87,0,4.04,2.4,4.14,0,0,0,0,0
2/25/2021,ADE,AK PORTFÖY DEĞİŞKEN FON,0,0,0,0.01,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,1.47,91.04,0,2.64,0,0,0
2/25/2021,ADP,AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),0,0,0,2.78,0,0,0,0,0,0,92.67,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0
2/25/2021,AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,0,0,0,1.96,0,0,7.64,12.91,0,0,59.79,0,0,0,0,0,0,0,12.78,0,0,0,4.92,0,0,0
2/25/2021,AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,96.1,0
2/25/2021,AFA,AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,99.92,0
2/25/2021,AFO,AK PORTFÖY ALTIN FONU,0,0.24,0,0,0,0,0,0,0,0,0,0,1.54,90.16,8.15,0,0,0,0,0,0,0,0,0,0,0
2/25/2021,AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,98.59,0
2/25/2021,AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,99.67,0
2/25/2021,AFV,AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,99.68,0
2/25/2021,AGC,AK PORTFÖY AGI DEĞİŞKEN FON,0,0,0,2.72,0,79.66,9.2,0,0,0,0,0,0,0,0,0,0,0,5.46,0,1.31,0,1.65,0,0,0
2/25/2021,AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),0,0,0,0,0,0,0,0,0,0,89.98,0,0,0,0,0,0,0,4.58,0.05,5.39,0,0,0,0,0
2/25/2021,AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,0,0,0,0,83.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.54,0,0,13.73,0,2.63,0
2/25/2021,AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,0,0,0,0,0,0,54.18,0,0,0,0,0,0,0,0,0,29.41,0,0,0.81,15.6,0,0,0,0,0
2/25/2021,AIH,AK PORTFÖY RTH SERBEST ÖZEL FON,0,0,0,0,0,6.87,0,0,0,0,74.35,0,0,0,0,0,0,0,0,0,0,0,16.54,0,2.24,0
2/25/2021,AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,0,0,0,0,0,99.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0
