TARİH,FON KODU,FON ADI,FİYAT,TEDAVÜLDEKİ PAY SAYISI,KİŞİ SAYISI,FON TOPLAM DEĞER
2/25/2021,AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,4.354726,21454058,0,93426544.85
2/25/2021,AAL,ATA PORTFÖY PARA PİYASASI FONU,0.647798,449128745,0,290944828.32
2/25/2021,AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,3.358891,22533293,0,75686870.5
2/25/2021,AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),4.568276,46363959,0,211803375.66
2/25/2021,ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,0.02148,253585948,0,5446931.08
2/25/2021,ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),2.736544,5631750,334,15411532.27
2/25/2021,ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,0.425725,57013398,335,24272043.79
2/25/2021,ACK,İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),0.059299,402136727.569,85,23846281.93
2/25/2021,ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,1.697175,41297672,15,70089391.24
2/25/2021,ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,8.492186,10572650,70,89784915.21
2/25/2021,ACZ,İSTANBUL PORTFÖY HİTİT SERBEST FON,1.936109,24631770,6,47689800.15
2/25/2021,ADE,AK PORTFÖY DEĞİŞKEN FON,0.190297,1258899018,0,239564730.87
2/25/2021,ADP,AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),0.095569,406215907,0,38821726.22
2/25/2021,AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,10.358598,7025856,0,72778017.92
2/25/2021,AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,0.01241,24068117680,2833,298682165.71
2/25/2021,AFA,AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU,0.107252,1336043138,1659,143292952.05
2/25/2021,AFO,AK PORTFÖY ALTIN FONU,0.092293,6204001963,12831,572587624.47
2/25/2021,AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,0.043606,3834800188,1542,167218662.36
2/25/2021,AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,0.084985,18626985206,11025,1583014241.77
2/25/2021,AFV,AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU,0.055451,1536819435,696,85217886.21
2/25/2021,AGC,AK PORTFÖY AGI DEĞİŞKEN FON,1.304697,63118640,552,82350681.99
2/25/2021,AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),2.120125,8747283,95,18545334.28
2/25/2021,AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,8.458008,2958050,22,25019211.84
