Fon Kodu,Fon Adı,"Şemsiye 
Fon Türü","İlk Portföy 
Büyüklüğü","Son Portföy 
Büyüklüğü","Portföy Büyüklüğü 
Değişimi (%)","Tedavüldeki 
İlk Pay Adedi","Tedavüldeki 
Son Pay Adedi","Pay Adedi 
Değişimi (%)","Net Getiri 
Oranı (%)"
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,Serbest Fon,161770.69,171136004.04,105689.25,15742,10274989,65171.18,62.08
GEI,GEDİK PORTFÖY EVEREST SERBEST FON,Serbest Fon,69106301.64,86248520.5,24.81,28359757,28355830,-0.01,24.82
HMK,HEDEF PORTFÖY EGE HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,115504705.83,135509080.48,17.32,12076520,12425140,2.89,14.03
IDH,İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,17263060.63,213700160.86,1137.9,15126832,167164818,1005.09,12.02
TPP,TEB PORTFÖY PUSULA SERBEST FON,Serbest Fon,29611681.92,73536832.02,148.34,10400000,23429000,125.28,10.24
HDH,HEDEF PORTFÖY DOĞU HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),Serbest Fon,75545689.04,75986164.16,0.58,2776110,2567520,-7.51,8.75
IAR,İSTANBUL PORTFÖY DÖRDÜNCÜ SERBEST FON,Serbest Fon,49445511.56,61415715.99,24.21,10467164,11956614,14.23,8.74
NNF,HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,453368311.91,619628592.64,36.67,302700501,389632534,28.72,6.18
FRA,AZIMUT PORTFÖY MAB SERBEST ÖZEL FON,Serbest Fon,47233508.26,49826104.01,5.49,16108246,16108246,0,5.49
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,Fon Sepeti Fonu,330842267.52,294937205.48,-10.85,30501182845,25779806167,-15.48,5.48
ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,3696476.39,36653530.7,891.58,3449353,32531208,843.11,5.14
SRO,AZİMUT PORTFÖY SKY SERBEST ÖZEL FON,Serbest Fon,670868556.91,708802067.53,5.65,295926739,298243259,0.78,4.83
MPS,MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),Hisse Senedi Yoğun,120562269.03,153968884.14,27.71,43395070.661,53079045.321,22.32,4.41
TTE,İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,510259069.92,606324497.76,18.83,3483479384,3965961794,13.85,4.37
YPF,YAPI KREDİ PORTFÖY YEDİTEPE SERBEST FON,Serbest Fon,19876515.54,20732826.06,4.31,10059495,10059495,0,4.31
IZS,İSTANBUL PORTFÖY ALTINCI SERBEST FON,Serbest Fon,2850691.33,3087424.05,8.3,2601520,2701520,3.84,4.3
YZF,YAPI KREDİ PORTFÖY PY ERENKÖY  SERBEST (DÖVIZ) ÖZEL FON,Serbest Fon,354102778.53,368990347.83,4.2,43074353,43074353,0,4.2
GMR,GEDİK PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,69801884.56,104900863.38,50.28,559194200,806605400,44.24,4.19
ISS,İŞ PORTFÖY DEĞER SERBEST ÖZEL FON,Serbest Fon,15249623.59,21063731.92,38.13,531082049,705213134,32.79,4.02
