Fon Kodu,Fon Adı,Şemsiye Fon Türü,1 Ay (%),3 Ay (%),6 Ay (%),1 Yıl (%),Yılbaşı (%),3 Yıl (%),5 Yıl (%)
HDH,HEDEF PORTFÖY DOĞU HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,16.678,109.1623,362.5499,965.3156,31.9586,,
HPF,HEDEF PORTFÖY KUZEY HİSSE SENEDİ SERBEST FON (HİS.SEN.YOĞ.FON),Serbest Şemsiye Fonu,13.5928,46.863,181.2651,425.7057,13.1236,889.5934,
FYA,İSTANBUL PORTFÖY ARK II SERBEST FON,Serbest Şemsiye Fonu,1.8948,26.2578,57.1258,155.8252,5.6959,,
TCD,TACİRLER PORTFÖY DEĞIŞKEN FON,Değişken Şemsiye Fonu,2.5357,47.2484,109.2342,124.6643,10.0349,446.7493,584.3002
IAR,İSTANBUL PORTFÖY DÖRDÜNCÜ SERBEST FON,Serbest Şemsiye Fonu,10.8548,41.9945,63.8379,101.3148,21.5073,,
RBH,ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,3.592,28.3905,74.8993,100.1494,10.3788,,
GMR,GEDİK PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,7.9332,39.3225,76.1196,97.8308,15.6882,224.9756,458.8587
MPS,MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),Hisse Senedi Şemsiye Fonu,5.3748,32.0521,58.2859,92.7699,13.7742,171.5709,
OPI,OSMANLI PORTFÖY İKİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,5.7439,38.1605,73.6658,91.1694,12.8466,,
TKF,TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,-1.747,20.0146,58.276,91.0602,3.3638,292.509,569.9188
OPH,OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,3.3594,39.7128,81.6544,90.1714,14.1208,,
