Fon Kodu,Fon Adı,"Şemsiye 
Fon Türü","Uygulanan Yönetim 
Ücreti Yıllık (%)","Fon İç Tüzüğünde Yer Alan 
Yönetim Ücreti Yıllık (%)","Yıllık Net 
Getiri Oranı","Yıllık Azami Fon 
Toplam Gider Oranı%” "
FYA,İSTANBUL PORTFÖY ARK II SERBEST FON,Serbest Şemsiye Fonu,"1,5","1,5",155.83,
TCD,TACİRLER PORTFÖY DEĞIŞKEN FON,Değişken Şemsiye Fonu,"2,","2,",124.66,"3,65"
RBH,ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,95","1,95",100.15,"3,65"
GMR,GEDİK PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5","2,5",97.83,"3,65"
MPS,MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),Hisse Senedi Şemsiye Fonu,"2,37","2,37",92.77,"3,65"
OPI,OSMANLI PORTFÖY İKİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,75","1,75",91.17,"3,65"
TKF,TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,92","2,92",91.06,"3,65"
OPH,OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,6","2,6",90.17,"3,65"
TTE,İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,9",0,82.17,"2,19"
MAC,MARMARA CAPITAL PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,752","1,752",79.62,"3,65"
IPJ,İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON,Karma Şemsiye Fonu,2,0,77.93,"3,65"
FRA,AZIMUT PORTFÖY MAB SERBEST ÖZEL FON,Serbest Şemsiye Fonu,"0,3675","0,3675",74.85,
TCS,TACİRLER PORTFÖY SİRİUS SERBEST FON,Serbest Şemsiye Fonu,2,2,74.55,0
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"2,9","2,9",73.27,"3,65"
IAS,QİNVEST PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,1,1,72.96,
UPH,ÜNLÜ PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,81","2,81",70.93,"3,65"
MPP,MEKSA PORTFÖY PRİME SERBEST FON,Serbest Şemsiye Fonu,"1,5","1,5",70.66,0
TPP,TEB PORTFÖY PUSULA SERBEST FON,Serbest Şemsiye Fonu,"1,5","1,5",66.89,
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,Serbest Şemsiye Fonu,"0,294","0,294",65.5,
STZ,STRATEJİ PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,19","2,19",63.76,0
FPH,FİBA PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,1025","3,1025",63.58,"3,65"
ZPE,ZİRAAT PORTFÖY KATILIM ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,825","1,825",62.59,"2,19"
DNO,DENİZ PORTFÖY NECLA SERBEST (DÖVİZ) ÖZEL FON,Serbest Şemsiye Fonu,"0,5","0,5",62.51,0
IIS,İSTANBUL PORTFÖY İKİNCİ SERBEST FON,Serbest Şemsiye Fonu,"1,5","1,5",61.39,
IPR,İŞ PORTFÖY ICARUS SERBEST ÖZEL FON,Serbest Şemsiye Fonu,"0,15",0,61.04,
YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,54999","3,55",60.03,"3,65"
ISS,İŞ PORTFÖY DEĞER SERBEST ÖZEL FON,Serbest Şemsiye Fonu,"0,25",0,59.48,
ST1,STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,993","2,993",57.31,"3,65"
YAY,YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"3,2485","3,25",55.25,"3,65"
IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,2","1,2",52.67,"3,65"
OSF,OSMANLI PORTFÖY BALKAN SERBEST FON,Serbest Şemsiye Fonu,"0,3","0,3",52.39,0
YDI,YAPI KREDİ PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,44998","3,45",51.55,"3,65"
IPU,İŞ PORTFÖY AS SERBEST ÖZEL FON,Serbest Şemsiye Fonu,"0,15",0,51.1,
IPC,İŞ PORTFÖY CK SERBEST ÖZEL FON,Serbest Şemsiye Fonu,"0,15",0,49.13,
